givenName,surname,Name,DisplayName,sAMAccountName,mail,mailNickname
Ashley,Jubb,Ashley Jubb,Ashley Jubb,ajudd,ajudd@example.com,ajudd
Bruce,Willis,Bruce Willis,Bruce Willis,bwillis,bwillis@example.com,bwillis
Johnny,Depp,Johnny Depp,Johnny Depp,jdepp,jdepp@example.com,jdepp
Naomi,Watts,Naomi Watts,Naomi Watts,nwatts,nwatts@example.com,nwatts
Andre,Agassi,Andre Agassi,Andre Agassi,aagassi,aagassi@example.com,aagassi
Arnold,Palmer,Arnold Palmer,Arnold Palmer,apalmer,apalmer@example.com,apalmer
Jack,Nicklaus,Jack Nicklaus,Jack Nicklaus,jnicklaus,jnicklaus@example.com,jnicklaus
Nancy,Lopez,Nancy Lopez,Nancy Lopez,nlopez,nlopez@example.com,nlopez
Pete,Sampras,Pete Sampras,Pete Sampras,psampras,psampras@example.com,psampras
Steffi,Graf,Steffi Graf,Steffi Graf,sgraf,sgraf@example.com,sgraf
Tiger,Woods,Tiger Woods,Tiger Woods,twoods,twoods@example.com,twoods
Venus,Williams,Venus Williams,Venus Williams,vwilliams,vwilliams@example.com,vwilliams
Clark,Kent,Clark Kent,Clark Kent,ckent,ckent@example.com,ckent
Donald,Duck,Donald Duck,Donald Duck,dduck,dduck@example.com,dduck
Jimmy,Olsen,Jimmy Olsen,Jimmy Olsen,jolsen,jolsen@example.com,jolsen
Lois,Lane,Lois Lane,Lois Lane,llane,llane@example.com,llane
Lex,Luthor,Lex Luthor,Lex Luthor,lluthor,lluthor@example.com,lluthor
Mickey,Mouse,Mickey Mouse,Mickey Mouse,mmouse,mmouse@example.com,mmouse
Scrooge,McDuck,Scrooge McDuck,Scrooge McDuck,smcduck,smcduck@example.com,smcduck
Winnie,Pooh,Winnie Pooh,Winnie Pooh,wpooh,wpooh@example.com,wpooh
Bill,Gates,Bill Gates,Bill Gates,bgates,bgates@example.com,bgates
Elon,Musk,Elon Musk,Elon Musk,emusk,emusk@example.com,emusk
John,Chambers,John Chambers,John Chambers,jchambers,jchambers@example.com,jchambers
Steve,Jobs,Steve Jobs,Steve Jobs,sjobs,sjobs@example.com,sjobs
Scott,McNeely,Scott McNeely,Scott McNeely,smcneely,smcneely@example.com,smcneely
Warren,Buffett,Warren Buffett,Warren Buffett,wbuffett,wbuffett@example.com,wbuffett
Alex,Trebek,Alex Trebek,Alex Trebek,atrebel,atrebel@example.com,atrebel
Bob,Barker,Bob Barker,Bob Barker,bbarker,bbarker@example.com,bbarker
Richard,Dawson,Richard Dawson,Richard Dawson,rdawson,rdawson@example.com,rdawson
Vanna,White,Vanna White,Vanna White,vwhite,vwhite@example.com,vwhite
Barry,Manilow,Barry Manilow,Barry Manilow,bmanilow,bmanilow@example.com,bmanilow
George,Harrison,George Harrison,George Harrison,gharrison,gharrison@example.com,gharrison
John,Lennon,John Lennon,John Lennon,jlennon,jlennon@example.com,jlennon
Mel,Torme,Mel Torme,Mel Torme,mtorme,mtorme@example.com,mtorme
Neil,Diamond,Neil Diamond,Neil Diamond,ndiamond,ndiamond@example.com,ndiamond
Paul,McCartney,Paul McCartney,Paul McCartney,pmccartney,pmccartney@example.com,pmccartney
Ringo,Starr,Ringo Starr,Ringo Starr,rstarr,rstarr@example.com,rstarr
Wayne,Newton,Wayne Newton,Wayne Newton,wnewton,wnewton@example.com,wnewton
Barack,Obama,Barack Obama,Barack Obama,bobama,bobama@example.com,bobama
Condi,Rice,Condi Rice,Condi Rice,crice,crice@example.com,crice
Dan,Quayle,Dan Quayle,Dan Quayle,dquayle,dquayle@example.com,dquayle
George,Bush,George Bush,George Bush,gbush,gbush@example.com,gbush
Hillary,Clinton,Hillary Clinton,Hillary Clinton,hclinton,hclinton@example.com,hclinton
John,McCain,John McCain,John McCain,jmccain,jmccain@example.com,jmccain
